station_name,review_text,review_rating
Croydon Police Station,"(Translated by Google) I just watched a video in which some unscrupulous individuals in police uniforms with white shirts were terrorizing a citizen with a Drone. I've seen the lie, the imposture, the gangster attitude, but I haven't seen professional cops for a moment. There are growing examples of violations of the law and civil rights by this place. Soon you will behave like the police in Russia. From France

(Original)
I just watched a video in which some unscrupulous individuals in police uniforms with white shirts were terrorizing a citizen with a Drone. I've seen the lie, the imposture, the gangster attitude, but I haven't seen professional cops for a moment. Il y a de plus en plus d’exemples de violations de la loi et des droits des civils de la part de cet endroit. Bientôt, vous vous comporterez comme la police en Russie. Depuis la France",1
Plumstead Police Station,"Fortunately I have never needed to venture into the building. However, the problems caused for local residents trying to legally park their vehicles are massive.

Before the Police moved in parking was not an issue. However, due to the amount of staff at the place & their unwillingness to park occasionally in streets slightly further away, parking is nigh on impossible. Senior management at the station have been made aware of the issue & resident's feelings, but have blatantly stonewalled the community & refuse to take any action to resolve the issue.

I have given up hope of ever parking in my street again, and with a new Library & Sports Centre being built in my street at least I have the comfort of knowing that Police staff will also suffer trying to park..........which will eventually push the parking issues further afield.",1
Tottenham Police Station,"If I could give 0 stars I would. Unfortunately google require you to give at least 1 star which this station certainly do not deserve. I had a very traumatic incident happen to me, I was advised by 101 to go into this station and give a statement. I was given a CAD number to quote upon my arrival. When entering the station none was in there but the reception stank of weed. I was then greeted by an extremely condescending individual who stated they had no record of my conversation with 101 and that they don’t make appointments to take statements. She didn’t even take the CAD number and I chose to leave as I feel she was goading me into losing my temper but I remained calm as I was aware of what she was trying to do. I put in a complaint and waiting on a response. She was a PCSO light skin woman working the evening of 1/05/2021",1
Sutton Police Station,"I didn't enjoy this bed and breakfast. It all started when the hotel transfer van arrives, all guns blazing, the seatbelts in the back of the van are weird because they cuff your wrists together. The bed was lumpy with no covers, and the en-suite was in the same room as the bed. The hotel runs a strict curfew that says you're not allowed out of your room until they come and let you out. You had to be supervised to go to the shower. Weren't allowed any outside food and drink. The decor was extremely plain and the staff were quite blunt and wouldn't accept my list of improvements. I don't know which Michelin star restaurant the chefs came from but they outright refused to cook me a medium rare sirloin, then when I asked if there was room service, they laughed?! My advice, just get a minicab to the nearest Premier Inn in future",1
Bethnal Green Police Station,"Despite the arresting officer being quick to withdraw his taser without due cause, as I wasn't being threatening, violent or even trying to get away.
I was treated alright. Room service is complementary, there is toilet in evey room, no wash facilities though, but showers and hand basins are available on request, there is no free WiFi for guests.
No on site entertainment, my recommendation is the codes of practice, or I suggest counting the tiles. A Complementary phone call, if lucky.
Beds are hard, and the pillow provided is like a rock.
The lights are constantly on, and if you request they will dim them down but won't turn them all the way off, which can be torture!
Free change of clothes provided, but trousers normally come up short, and only plimsolls are provided, even though they insist on taking your shoe laces...",5
Charing Cross Police Station,"I’m just writing to advise, if you need to change your address late because you are a immigrant from some countries (which itself is an outdated policy and discriminating) don’t come to this police station. I reported the move after 14 days not 7. This happened quite frequently actually because they closed most of police stations and I need to work from 8am to 8pm including commute time. I took my earliest possible chance to find any station I can reach and they didn’t show any understanding and wrote on my PRC form “late to report the change” which will have negative impact on my future VISA status. UK please don’t close your police stations and make the remaining ones overloaded, which in turn make them hate the real tax payers. And please abolish the outdated discriminatory regulations from like 100 years ago.",1
Plumstead Police Station,"Quite awfully inept at this station. Mentioning no names, just last week many visitors observed 2 officers arguing in the foyer over the one computer they both wished to access @ the same time. .
Personally had the misfortune to deal with a few of their officers who never can understand the whole picture transpiring before thier very eyes.
This station Still retains a mobile phone of mine 2 years on after false allegations were made against myself & others.
The DI who is still just a DI btw, waited to close the store on my last visit. It's k I made myself at home watching everything while present.
Gonna go same way as Sidcup & all the others who didn't adhere, when get round to it.

Btw Plumstead's anti litter campaign wasn't Supposed to include ""hate"" in it's Title. This must be Changed by the Council. I",1
Kingston Police Station,"The other day there happened to be a crash on Penrhyn Road and the whole of the road was sealed off as well as the pavement and entrances to peoples houses. Just wear they sealed off was the entrance to my apartment building. I tried to call over a policewoman and ask hew how as I able to access the building. Instead of politely telling me that I had to go around a certain way, she gave me me the most disgusting attitude and got mad for no reason. I've looked at the reviews for this station and I have seen may people complain about the attitude of this station. Its disgusting to know that grown men and women honestly think they have power over others, do what they want and treat people in such a repulsive way just because of a tiny badge? It makes me laugh. Fix yourselves up. Its embarrassing.",1
Hounslow Police Station,I had my car Hit and Run in Hounslow so I immediately went to the police station I said to a constable my car was hit and run can I report it he said did I get the reg I said yes he asked where it happened I told him he said have I told my insurance I said no I just came straight here as it wasn't an accident he hit and run me which is a crime he said call your insurance. I called my insurance for an hour then then lines closed so went back in and said is there nothing I can do my insurance isn't answering he said no call them and come back. I've never been in this situation before but I looked up what to do and you are meant to go straight to the police and report it and they give you a crime number to give the insurance so how am I going to call insurance with no number what a joke!!!,1
Wimbledon Police Station,"Stayed in the establishment a few years back. The beds are rock solid and the blue mattress is smelly. Room service is ok but avoid the all day breakfast meal provided. Staff at custody counter very nice and welcoming. The stainless steel toilet could do with upgrading. No WiFi which is a shame. Queried why I had to have my photo, fingerprints and DNA taken when booking in, but staff insisted it was part of their terms and conditions. Complimentary Grey tracksuit provided for free which was a real bonus. Got woken up by staff for an interview in the middle of the night which was slightly annoying but staff courteous enough to provide a weak as piss coffee as a gesture of goodwill. Regular shuttle bus/excursions to Wimbledon Magistrates court provided with compliments from management.",4
Charing Cross Police Station,"Excellent central London location within easy reach of the bright lights and attractions and once you have made you way indoors you are unlikely to want to leave. The reception procedure seems a little formal to be honest, being asked if you want to read the ""codes of practice"" and being frisked is a new one but each place has quirks! The rooms have a certain retro minimalist chic about them (if you have ever stayed in a Holiday Inn you will be familiar) and have efficient room service. The place is so popular it is impossible to book in advance!... it must be good then. First come first served here and bizarrely incudes free legal facilities if you need them in a kind of Russian roulette approach to solicitors (1 in 4 chance of getting a good one). Premier Inn could learn alot!",5
Ilford Police Station,"On the 31st of August I was driving along the a406 at Woodford where I saw a man fall from a bridge after spending 3 hours with the police and giving up my dash cam for evidence as of today Im still waiting for the SIM card to be returned as for the camera it self I had to make 3 trips from Ongar to Ilford before I finally got it back last week Dan at the property office informed me that the police are not a delivery service well guess what Im not a collection service, this whole episode as been a disaster trying to get my property back you would think that after assisting the police with this terrible incident that the very least they could do was to assist me in getting my property back, no officers or anyone connected with this case has even bothered to contact me,",1
Kentish Town Police Station,"This is the worst experience I ever had with metropolitan police. I need a police registration certificate urgently and I arrived at Kentish Town police station around 4:20pm with my face mask. As soon as I arrive at the police station and said my purpose for visiting. The black officer lady said to me immediately go home not even until I finished my words. I tried to explained to her that I need it urgently for my visa application. She is still turning me away by keeping saying they won’t do anything for the certificate because of the COVID.

Then I said how can I said to the immigration officer, she said just told them we can’t do anything because of the COVID. They don’t even have a number I can call to confirm whether I should make an appointment beforehand.",1
Tottenham Police Station,"In all seriousness, this is where policing comes to die.
On several occasions I had the bad fortune of visiting this place, and the lack of manners and professionalism of almost every member of staff is striking. Me and my partner tried to report a local incident that involved anti-social behaviour (Im a Lawyer, for your information) and not only was the incident not duly reported, nor attended to, but we were also subjected to the Constables bad sarcasm as he sought to question the credibility of our statement. Not only do they fail to deliver any sense of Community policing, but, indeed, bring down the IQ of the entire area.
SUGGESTION: immediately close this station down pending its conversion into an animal farm, retaining the existing livestock...",1
Dagenham Police Station,"Went into the police station this morning to seek information on a Burgery which happened to me 2 weeks ago. After 2 attempts to contact my assigned officer over the phone to no avail I, in my distressed state, went in person to the station to gain some help regarding my case. The gentleman at the desk was rude and obnoxious and was more interested in chatting up the WPC in the office with him, than helping me with my enquiries!! Very saddened and disturbed at my experience and would advise that the gentlemen in question needs to be advised in customer service skills and victim support knowledge!! I felt like an unimportant human being and left more distressed and frustrated than When I went in. Still waiting for a call back about my case...",1
Charing Cross Police Station,"Met police be ashamed of yourself,
devoting in enforcing a 200 years old law at people
in my experience corrupt police force are working for the corporations and mostly don't know it.
The met have become revenue collectors
THEY FORGET they are public servants Until then- my confidence is at an all time low
The police are now reduced to a reactive service rather than the previously proactive force. Consequently, they have lost control of the streets and their abilities to protect the public.T
HATS WHY some coppers made some big mistakes. They then told big lies to cover those mistakes, and falsified their statements

Exampels: Officer Daniel Richardson 3006
Examples: Officer Thomas Benedict Caulfield 247
are among most corrupt officers in UK",2
